"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
15,"Sin categorizar",sin-categorizar,,0,,,4,,,,,,
17,"PROTECCIÓN PERSONAS",proteccion-personas,,0,,,0,,,,,,
18,CABEZA,cabeza,,0,,,0,,,,,,
19,CINTAS,cintas,,0,,,1,http://134.122.26.138/wp-content/uploads/2020/05/Captura-de-Pantalla-2020-05-21-a-las-17.36.41.png,"Captura de Pantalla 2020-05-21 a la(s) 17.36.41",,,,
20,"MATERIA PRIMA GORRA",materia-prima-gorra,,0,,,1,,,,,,
21,GUANTES,guantes,,0,,,0,,,,,,
22,"PROTECCIÓN CIVIL",proteccion-civil,,0,,,0,,,,,,
23,DESECHABLE,desechable,,0,,,0,,,,,,
24,"PRIMEROS AUXILIOS",primeros-auxilios,,0,,,0,http://134.122.26.138/wp-content/uploads/2020/06/cono-plegable.png,"cono plegable",,,,
25,ILUMINACIÓN,iluminacion,,0,,,0,,,,,,
26,VIALIDAD,vialidad,,0,,,9,,,,,,
27,ALTURA,altura,,0,,,0,http://134.122.26.138/wp-content/uploads/2020/06/prohibido-el-paso.png,"prohibido el paso",,,,
28,CALZADO,calzado,,0,,,0,,,,,,
29,"ROPA Y ACCESORIOS",ropa-y-accesorios,,0,,,3,http://134.122.26.138/wp-content/uploads/2020/06/cinta-precaucion.png,"cinta precaucion",,,,
30,"GAS LACRIMOGENO",gas-lacrimogeno,,17,"PROTECCIÓN PERSONAS",proteccion-personas,0,,,,,,
31,"LAMPARA DE TOQUES",lampara-de-toques,,17,"PROTECCIÓN PERSONAS",proteccion-personas,0,http://134.122.26.138/wp-content/uploads/2020/06/cinta-peligro.png,"cinta peligro",,,,
32,RESPIRADORES,respiradores,,18,CABEZA,cabeza,0,,,,,,
33,"TAPON AUDITIVO",tapon-auditivo,,18,CABEZA,cabeza,2,http://134.122.26.138/wp-content/uploads/2020/06/precaucion-piso-mojado.png,"precaucion piso mojado",,,,
34,CASCO,casco,,18,CABEZA,cabeza,0,,,,,,
35,LENTES,lentes,,18,CABEZA,cabeza,0,http://134.122.26.138/wp-content/uploads/2020/06/cadena-plastico-amarilla.png|http://134.122.26.138/wp-content/uploads/2020/06/cadena-plastico-roja.png,"cadena plastico amarilla|cadena plastico roja",|,|,|,
36,BARBIQUEJO,barbiquejo,,18,CABEZA,cabeza,1,,,,,,
37,CUBRENUCA,cubrenuca,,18,CABEZA,cabeza,0,,,,,,
38,"PROTECTOR FACIAL",protector-facial,,18,CABEZA,cabeza,0,,,,,,
39,CARTUCHO,cartucho,,18,CABEZA,cabeza,0,http://134.122.26.138/wp-content/uploads/2020/06/banderin-de-mallaq.png,"banderin de mallaq",,,,
40,MASCARILLA,mascarilla,,23,DESECHABLE,desechable,0,,,,,,
41,CINTA,cinta,,19,CINTAS,cintas,3,http://134.122.26.138/wp-content/uploads/2020/06/triangulo-de-vialidad.png,"triangulo de vialidad",,,,
42,VISERA,visera,,20,"MATERIA PRIMA GORRA",materia-prima-gorra,0,,,,,,
43,BROCHE,broche,,20,"MATERIA PRIMA GORRA",materia-prima-gorra,0,http://134.122.26.138/wp-content/uploads/2020/06/banderin-para-tractocamion.png,"banderin para tractocamion",,,,
44,BOTON,boton,,20,"MATERIA PRIMA GORRA",materia-prima-gorra,1,,,,,,
45,ENTRETELA,entretela,,20,"MATERIA PRIMA GORRA",materia-prima-gorra,0,http://134.122.26.138/wp-content/uploads/2020/06/CAMISOLA-DE-MEZCLILLA-DE-14-OZ.-100-ALGODON.png,"CAMISOLA DE MEZCLILLA DE 14 OZ. 100 % ALGODON",,,,
46,GUANTE,guante,,21,GUANTES,guantes,0,,,,,,
47,SEÑALAMIENTOS,senalamientos,,22,"PROTECCIÓN CIVIL",proteccion-civil,1,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-MARINO-DE-GABARDINA-100-ALGODON.png,"OVEROL MARINO DE GABARDINA 100 % ALGODON",,,,
48,EXTINTORES,extintores,,22,"PROTECCIÓN CIVIL",proteccion-civil,0,,,,,,
49,PORTAEXTINTOR,portaextintor,,22,"PROTECCIÓN CIVIL",proteccion-civil,0,http://134.122.26.138/wp-content/uploads/2020/06/ARNES-DE-3-ARGOLLAS-HERHILD.png,"ARNES DE 3 ARGOLLAS HERHILD",,,,
50,SOPORTE,soporte,,22,"PROTECCIÓN CIVIL",proteccion-civil,0,,,,,,
51,"FUNDA EXTINTOR",funda-extintor,,22,"PROTECCIÓN CIVIL",proteccion-civil,0,http://134.122.26.138/wp-content/uploads/2020/06/ARNES-DE-5-ARGOLLAS.png,"ARNES DE 5 ARGOLLAS",,,,
52,"RECARGA DE EXTINTOR",recarga-de-extintor,,22,"PROTECCIÓN CIVIL",proteccion-civil,0,,,,,,
53,TIJERA,tijera,,22,"PROTECCIÓN CIVIL",proteccion-civil,0,http://134.122.26.138/wp-content/uploads/2020/06/ANCLA-DE-90-CM.jpg,"ANCLA DE 90 CM",,,,
54,OVEROL,overol,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,5,,,,,,
55,COFIA,cofia,,23,DESECHABLE,desechable,0,http://134.122.26.138/wp-content/uploads/2020/06/BARBIQUEJO-DE-4-PUNTOS.jpg,"BARBIQUEJO DE 4 PUNTOS",,,,
56,CUBREZAPATO,cubrezapato,,23,DESECHABLE,desechable,0,,,,,,
57,BOTIQUIN,botiquin,,24,"PRIMEROS AUXILIOS",primeros-auxilios,0,http://134.122.26.138/wp-content/uploads/2020/06/TAPON-AUDITIVO-TRIPLE-BARRERA.jpg,"TAPON AUDITIVO TRIPLE BARRERA",,,,
58,LAMPARAS,lamparas,,25,ILUMINACIÓN,iluminacion,0,,,,,,
59,CONOS,conos,,26,VIALIDAD,vialidad,1,http://134.122.26.138/wp-content/uploads/2020/06/TAPON-AUDITIVO-DESECHABLE.jpg,"TAPON AUDITIVO DESECHABLE",,,,
60,TRAFITAMBO,trafitambo,,26,VIALIDAD,vialidad,0,,,,,,
61,BARRICADA,barricada,,26,VIALIDAD,vialidad,0,http://134.122.26.138/wp-content/uploads/2020/06/LINEA-DE-POSICIONAMIENTO.jpg,"LINEA DE POSICIONAMIENTO",,,,
62,MALLAS,mallas,,26,VIALIDAD,vialidad,0,,,,,,
63,"ITTO AVATIBLE",itto-avatible,,26,VIALIDAD,vialidad,0,http://134.122.26.138/wp-content/uploads/2020/06/LINEA-DE-VIDA-DE-GANCHO-GRANDE.jpg,"LINEA DE VIDA DE GANCHO GRANDE",,,,
64,VIALETA,vialeta,,26,VIALIDAD,vialidad,0,,,,,,
65,TOPE,tope,,26,VIALIDAD,vialidad,0,http://134.122.26.138/wp-content/uploads/2020/06/LINEA-DE-VIDA-CON-AMORTIGUADOR.png,"LINEA DE VIDA CON AMORTIGUADOR",,,,
66,ESQUINERO,esquinero,,26,VIALIDAD,vialidad,1,,,,,,
67,POSTE,poste,,26,VIALIDAD,vialidad,0,,,,,,
68,BANDEROLA,banderola,,26,VIALIDAD,vialidad,1,,,,,,
69,ARNÉS,arnes,,27,ALTURA,altura,2,,,,,,
70,"LÍNEA DE VIDA",linea-de-vida,,27,ALTURA,altura,2,http://134.122.26.138/wp-content/uploads/2020/06/CAMISOLA-DE-MEZCLILLA-DE-14-OZ.-100-ALGODON-1.png|http://134.122.26.138/wp-content/uploads/2020/06/CAMISOLA-DE-MEZCLILLA-DE-14-OZ.-100-ALGODON-2.png,"CAMISOLA DE MEZCLILLA DE 14 OZ. 100 % ALGODON|CAMISOLA DE MEZCLILLA DE 14 OZ. 100 % ALGODON",|,|,|,
71,ANCLA,ancla,,27,ALTURA,altura,1,,,,,,
72,MOSQUETÓN,mosqueton,,27,ALTURA,altura,0,,,,,,
73,"LÍNEA DE POSICIONAMIENTO",linea-de-posicionamiento,,27,ALTURA,altura,1,http://134.122.26.138/wp-content/uploads/2020/06/CAMISOLA-DE-MEZCLILLA-DE-14-OZ.-CON-REFLEJANTE.jpg,"CAMISOLA DE MEZCLILLA DE 14 OZ. CON REFLEJANTE",,,,
74,"CALZADO INDUSTRIAL",calzado-industrial,,28,CALZADO,calzado,0,,,,,,
75,IMPERMEABLE,impermeable,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-MARINO-DE-GABARDINA-100-ALGODON-1.png,"OVEROL MARINO DE GABARDINA 100 % ALGODON",,,,
76,BRAZALETE,brazalete,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
77,GORRAS,gorras,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-ROJO-DE-GABARDINA-100-ALGODON.png,"OVEROL ROJO DE GABARDINA 100 % ALGODON",,,,
78,SOMBREROS,sombreros,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,1,,,,,,
79,MANGAS,mangas,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-DE-GABARDINA-KAKY-100-ALGODON.png,"OVEROL DE GABARDINA KAKY 100 % ALGODON",,,,
80,RODILLERAS,rodilleras,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
81,"PORTA HERRAMIENTAS",porta-herramientas,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-GABARDINA-NARANJA.jpg,"OVEROL GABARDINA NARANJA",,,,
82,PETOS,petos,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
83,BATAS,batas,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,1,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-GABARDINA-NEGRO.jpg,"OVEROL GABARDINA NEGRO",,,,
84,MANDIL,mandil,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
85,FORNITURAS,fornituras,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/OVEROL-MARINO-DE-GABARDINA-100-ALGODON-2.png|http://134.122.26.138/wp-content/uploads/2020/06/BATA-DE-GABARDINA-100-ALGODON.png,"OVEROL MARINO DE GABARDINA 100 % ALGODON|BATA DE GABARDINA 100% ALGODON",|,|,|,
86,HEBILLAS,hebillas,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
87,SILVATO,silvato,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,,,,,,
88,TOLETE,tolete,,29,"ROPA Y ACCESORIOS",ropa-y-accesorios,0,http://134.122.26.138/wp-content/uploads/2020/06/PANTALON-DE-MEZCLILLA-DE-14-OZ-.-100-ALGODON.png,"PANTALON DE MEZCLILLA DE 14 OZ . 100 % ALGODON",,,,
89,MASCARILLA,mascarilla-cabeza,,18,CABEZA,cabeza,0,,,,,,
90,"CALZADO IMPERMEABLE",calzado-impermeable,,28,CALZADO,calzado,0,http://134.122.26.138/wp-content/uploads/2020/06/CHALECO-FOTOGRAFO-100-ALGODON.jpg|http://134.122.26.138/wp-content/uploads/2020/06/esquinero-columnas.png,"CHALECO FOTOGRAFO 100 % ALGODON|esquinero columnas",|,|,|,
113,MARCA,marca,,0,,,0,,,,,,
114,SELESI,selesi,,113,MARCA,marca,0,,,,,,
115,EXTINFLAM,extinflam,,113,MARCA,marca,0,,,,,,
116,"MR SEGURIDAD",mr-seguridad,,113,MARCA,marca,11,,,,,,
117,IPF,ipf,,113,MARCA,marca,9,,,,,,
118,"VERTICE INDUSTRIAL",vertice-industrial,,113,MARCA,marca,0,,,,,,
119,PROLUME,prolume,,113,MARCA,marca,0,,,,,,
120,HERHILD,herhild,,113,MARCA,marca,5,,,,,,
121,DERMACARE,dermacare,,113,MARCA,marca,0,,,,,,
122,"LOS ANGELES",los-angeles,,113,MARCA,marca,0,,,,,,
123,"HERRAMIENTAS ACZ",herramientas-acz,,113,MARCA,marca,0,,,,,,
124,AXIOMA,axioma,,113,MARCA,marca,0,,,,,,
125,"ALTURA SEGURA",altura-segura,,113,MARCA,marca,4,,,,,,
126,"BY LACK SEGURIDAD",by-lack-seguridad,,113,MARCA,marca,0,,,,,,
127,ABASTECEDORA,abastecedora,,113,MARCA,marca,0,,,,,,
128,VALLEN,vallen,,113,MARCA,marca,0,,,,,,
129,"VAN VIEN",van-vien,,113,MARCA,marca,0,,,,,,
130,CRUCERO,crucero,,113,MARCA,marca,0,,,,,,
131,RADELG,radelg,,113,MARCA,marca,0,,,,,,
132,"95/24 MÉXICO",95-24-mexico,,113,MARCA,marca,0,,,,,,
